LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C1729,CL21B223KBANNNC,Samsung Electro-Mechanics,0805,,50V 22nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0068,0.68,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21b223kbannnc_C1729.html
C25138,0402WGJ0101TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 100Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgj0101tce_C25138.html
C14860,CL31B106KAHNNNE,Samsung Electro-Mechanics,1206,,25V 10uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,0.0217,0.43,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl31b106kahnnne_C14860.html
C602030,FHD4020S-3R3MT,cjiang (Changjiang Microelectronics Tech),"SMD,4x4mm",,"4A 3.3uH ±20% 5.9A SMD,4x4mm Power Inductors ROHS",yes,20,10,0.1102,2.20,https://www.lcsc.com/product-detail/power-inductors_cjiang-changjiang-microelectronics-tech-fhd4020s-3r3mt_C602030.html
C23255,0603WAF820JT5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 82Ω 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf820jt5e_C23255.html
C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,200,100,0.0011,0.22,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl05b104ko5nnnc_C1525.html
C4109,0402WGF2001TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 2kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf2001tce_C4109.html
C22797,0603WAF1302T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 13kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf1302t5e_C22797.html
C4747971,RST10UF50V016,KNSCHA,"SMD,D5xL5.4mm",,"10uF 50V 24mA@120Hz ±20% SMD,D5xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS",yes,20,20,0.0246,0.49,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-smd_knscha-rst10uf50v016_C4747971.html
C23265,0603WAF9102T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 91kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf9102t5e_C23265.html
C159019,RTT024R75FTH,RALEC,0402,,62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 4.75Ω 0402 Chip Resistor - Surface Mount ROHS,yes,50,50,0.0003,0.02,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_ralec-rtt024r75fth_C159019.html
C69335,CL10A475KA8NQNC,Samsung Electro-Mechanics,0603,,25V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0143,0.72,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a475ka8nqnc_C69335.html
C167206,FXL0420-2R2-M,cjiang (Changjiang Microelectronics Tech),"SMD,4.2x4.4mm",,"4.5A 2.2uH Integrated molded inductor ±20% 5A SMD,4.2x4.4mm Power Inductors ROHS",yes,5,5,0.1827,0.91,https://www.lcsc.com/product-detail/power-inductors_cjiang-changjiang-microelectronics-tech-fxl0420-2r2-m_C167206.html
C25104,0402WGF3300TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 330Ω 0402 Chip Resistor - Surface Mount ROHS,yes,200,100,0.0006,0.12,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf3300tce_C25104.html
C22935,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1MΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf1004t5e_C22935.html
C285123,0603B473K500NT,FH (Guangdong Fenghua Advanced Tech),0603,,50V 47nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0030,0.30,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_fh-guangdong-fenghua-advanced-tech-0603b473k500nt_C285123.html
C25079,0402WGF1200TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 120Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf1200tce_C25079.html
C11366,TAJA226K010RNJ,Kyocera AVX,CASE-A-3216-18(mm),,22uF 10V 3Ω@100kHz ±10% CASE-A-3216-18(mm) Tantalum Capacitors ROHS,yes,5,5,0.0929,0.46,https://www.lcsc.com/product-detail/tantalum-capacitors_kyocera-avx-taja226k010rnj_C11366.html
C413044,ERJ2RKF10R0X,PANASONIC,0402,,100mW Thick Film Resistors ±100ppm/℃ ±1% 10Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0047,0.47,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_panasonic-erj2rkf10r0x_C413044.html
C23025,0603WAF3000T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 300Ω 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf3000t5e_C23025.html
C23186,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 5.1kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf5101t5e_C23186.html
C159807,CL05C271JB5NNNC,Samsung Electro-Mechanics,0402,,50V 270pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0056,0.56,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl05c271jb5nnnc_C159807.html
C383221,LESDA6V1W5T1G,LRC,SC-88A,,150V 6.1V 5V SC-88A ESD and Surge Protection (TVS/ESD) ROHS,yes,60,20,0.0383,2.30,https://www.lcsc.com/product-detail/esd-and-surge-protection-tvs-esd_lrc-lesda6v1w5t1g_C383221.html
C17415,0805W8F100JT5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±1% ±200ppm/℃ 10Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f100jt5e_C17415.html
C45783,CL21A226MAQNNNE,Samsung Electro-Mechanics,0805,,25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,40,20,0.0212,0.85,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21a226maqnnne_C45783.html
C129558,V275LA4P,Littelfuse,Plugin,,710V 369V 275V 430V Plugin Varistors ROHS,yes,20,10,0.0820,1.64,https://www.lcsc.com/product-detail/varistors_littelfuse-v275la4p_C129558.html
C78465,VEML6040A3OG,Vishay Intertech,OPLGA-4(1.3x2),,"I2C Red,Green,Blue,White OPLGA-4(1.3x2) Ambient Light Sensors ROHS",yes,8,1,1.0177,8.14,https://www.lcsc.com/product-detail/ambient-light-sensors_vishay-intertech-veml6040a3og_C78465.html
C62728,0805W8F3742T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 37.4kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f3742t5e_C62728.html
C307331,CL05B104KB54PNC,Samsung Electro-Mechanics,0402,,50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,250,50,0.0062,1.55,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl05b104kb54pnc_C307331.html
C479619,LTW-3030AZL40-LD,Lite-On,SMD3030,,150mA 4000K Orange Lens -40℃~+100℃ White 120° 1.32W SMD3030 LED Indication - Discrete ROHS,yes,50,5,0.0830,4.15,https://www.lcsc.com/product-detail/led-indication-discrete_lite-on-ltw-3030azl40-ld_C479619.html
C479625,LTW-206DCG-E2HH,Lite-On,"SMD,1x3.8mm",,"20mA Side Adhesive -30℃~+85℃ White 120° 120mW SMD,1x3.8mm LED Indication - Discrete ROHS",yes,50,10,0.0677,3.39,https://www.lcsc.com/product-detail/led-indication-discrete_lite-on-ltw-206dcg-e2hh_C479625.html
C2922474,S8050,WEIDA,TO-92-3,,25V 625mW 500mA NPN TO-92-3 Bipolar (BJT) ROHS,yes,50,50,0.0138,0.69,https://www.lcsc.com/product-detail/bipolar-bjt_weida-s8050_C2922474.html
C672118,BCR321UE6327HTSA1,Infineon Technologies,SC-74-6,,16V 10kHz 1 250mA 25V SC-74-6 LED Drivers ROHS,yes,18,1,0.2351,4.23,https://www.lcsc.com/product-detail/led-drivers_infineon-technologies-bcr321ue6327htsa1_C672118.html
